Aberrant Shield Pattern Analysis 	Shield Data 	Rare
Abnormal Compact Emissions Data 	Emission Data 	Very Rare
Adaptive Encryptors Capture 	Encryption Files 	Very Rare
Anomalous Bulk Scan Data 	Data Archives 	Very Common
Anomalous FSD Telemetry 	Wake Scans 	Common
Atypical Disrupted Wake Echoes 	Wake Scans 	Very Common
Atypical Encryption Archives 	Encryption Files 	Rare
Classified Scan Databanks 	Data Archives 	Standard
Classified Scan Fragment 	Data Archives 	Very Rare
Cracked Industrial Firmware 	Encoded Firmware 	Standard
Datamined Wake Exceptions 	Wake Scans 	Very Rare
Decoded Emission Data 	Emission Data 	Rare
Distorted Shield Cycle Recordings 	Shield Data 	Very Common
Divergent Scan Data 	Data Archives 	Rare
Eccentric Hyperspace Trajectories 	Wake Scans 	Rare
Exceptional Scrambled Emission Data 	Emission Data 	Very Common
Guardian Module Blueprint Fragment 	Guardian Data 	Very Rare
Guardian Vessel Blueprint Fragment 	Guardian Data 	Very Rare
Guardian Weapon Blueprint Fragment 	Guardian Data 	Very Rare
Inconsistent Shield Soak Analysis 	Shield Data 	Common
Irregular Emission Data 	Emission Data 	Common
Modified Consumer Firmware 	Encoded Firmware 	Common
Modified Embedded Firmware 	Encoded Firmware 	Very Rare
Open Symmetric Keys 	Encryption Files 	Standard
Pattern Alpha Obelisk Data 	Guardian Data 	Standard
Pattern Beta Obelisk Data 	Guardian Data 	Common
Pattern Delta Obelisk Data 	Guardian Data 	Rare
Pattern Epsilon Obelisk Data 	Guardian Data 	Very Rare
Pattern Gamma Obelisk Data 	Guardian Data 	Very Common
Peculiar Shield Frequency Data 	Shield Data 	Very Rare
Security Firmware Patch 	Encoded Firmware 	Rare
Ship Flight Data 	Thargoid Data 	Standard
Ship Systems Data 	Thargoid Data 	Standard
Specialised Legacy Firmware 	Encoded Firmware 	Very Common
Strange Wake Solutions 	Wake Scans 	Standard
Tagged Encryption Codes 	Encryption Files 	Common
Thargoid Material Composition Data 	Thargoid Data 	Standard
Thargoid Residue Data 	Thargoid Data 	Rare
Thargoid Ship Signature 	Thargoid Data 	Standard
Thargoid Structural Data 	Thargoid Data 	Common
Thargoid Wake Data 	Thargoid Data 	Rare
Unexpected Emission Data 	Emission Data 	Standard
Unidentified Scan Archives 	Data Archives 	Common
Untypical Shield Scans 	Shield Data 	Standard
Unusual Encrypted Files 	Encryption Files 	Very Common
